ID,min_distances,ref_min_distances,stenosis_min_squared_fd,stenosis_min_squared_sd,stenosis_ratio_min,stenosis_ratio_min_squared,stenosis_ratio_min_squared_fd,stenosis_ratio_min_squared_sd,avg_radius,ref_avg_radius,stenosis_ratio_avg
5.0,1.6868091178316513,3.150662657213898,0.3881523816694409,0.3881523816694409,0.4646176689308651,0.21586957828275097,-0.10227176314915391,-0.013198505695551685,2.720632700134768,3.6714397147070357,0.2589738872092954
5.5,2.16018517724754,3.17421750866153,0.3964139761932375,0.3964139761932375,0.3194589937983098,0.10205404871862853,-0.08354903564726442,0.037492603529553074,2.9762589024516144,3.6943539994860495,0.19437636380659107
6.0,2.4796370702181263,3.1824602476909365,0.16530142533325742,0.16530142533325742,0.22084272002541117,0.04877150698822214,-0.02728655609004776,0.03186522402178746,3.154149407542436,3.716482245978535,0.1513078231557753
6.5,2.490788027914055,3.184748594493007,0.20521606655278002,0.20521606655278002,0.21790120820806158,0.047480936538533004,-0.019818587603689493,0.0017730439103906294,3.176348628718378,3.73596973995215,0.1497927312550822
7.0,2.8900692033236863,3.195472309306427,0.39577173026261603,0.39577173026261603,0.09557369816452199,0.009134331780843155,-0.023740468269266502,0.007625710856633957,3.4464815046645785,3.7545878921674123,0.08206130642076226
7.5,3.282331488439287,3.208597355675533,0.18595627814098448,0.18595627814098448,0.0,0.0,-0.004567165890421577,0.012040506863931311,3.4259676986986287,3.778630550783863,0.09333086348229402
8.0,3.2619817596056553,3.196074016397837,-0.07957801053319069,-0.07957801053319069,0.0,0.0,0.0003405454585961193,0.0050552724187907,3.547644227310779,3.7968665843489835,0.06563895557076482
8.5,3.1231754673729055,3.2068673901747875,-0.19603879001028202,-0.19603879001028202,0.02609771862045107,0.0006810909171922386,0.005543378947159823,0.0013724197921735517,3.360978482839832,3.8102656919356477,0.11791492914699442
9.0,2.8699041795850913,3.207649368133673,-0.08171865163899272,-0.08171865163899272,0.10529367452188021,0.011086757894319645,0.0030853850429432227,-0.003086947847801892,3.3595918938801286,3.7908100991069724,0.11375357613625359
9.5,2.95973816409492,3.2268432392385384,0.02580755847269489,0.02580755847269489,0.08277596875348958,0.006851861003078684,-0.0006305167484439616,0.00028404110865548724,3.4105801323997835,3.8064758363349127,0.1040058366208676
10.0,2.921519296530481,3.2429789062057304,-0.051469628113088195,-0.051469628113088195,0.09912479204231261,0.009825724397431722,0.003653467260254197,-0.0007681191444112393,3.351384017164829,3.8178343582493746,0.1221766837727426
10.5,2.8567989078687437,3.24264344119821,0.034114928413352175,0.034114928413352175,0.11899073713355623,0.014158795523587078,-0.00216675503726644,-0.004088317781867393,3.25525118615886,3.8098052296226155,0.1455596835113503
11.0,2.9897491533571854,3.2290525428886165,0.07378437303221741,0.07378437303221741,0.07410947525720879,0.005492214322898842,-0.00452316830348059,-0.00028967606209149037,3.439018131774442,3.780249162060787,0.09026680931801978
11.5,3.0043676539331785,3.2357268509828576,0.00976823807844629,0.00976823807844629,0.07150146094050036,0.005112458916625899,-0.002746107161449421,0.0009834694225838202,3.4677873800790584,3.7907479634540313,0.08519706044521613
12.0,3.009285629514078,2.253066645258114,0.0016196841345119672,0.0016196841345119672,0.0,0.0,-0.0025562294583129494,0.0013730535807247105,3.46301854764945,3.290719378904193,0.0
12.5,3.0076070222022024,2.3103416968502644,0.04379389689765256,0.04379389689765256,0.0,0.0,0.0,0.0012781147291564747,3.490644181651167,3.2995840765771534,0.0
13.0,3.096873423309383,2.35573610858845,0.1280397718154902,0.1280397718154902,0.0,0.0,0.0,0.0,3.6117758406804708,3.3087462450851923,0.0
13.5,3.263686565833183,2.6332722110365556,0.01762722382176385,0.01762722382176385,0.0,0.0,0.0,0.0,3.678206992023798,3.3392905964813506,0.0
14.0,3.132127870952911,2.8435768329406077,0.08420960088391172,0.08420960088391172,0.0,0.0,0.0,0.0,3.6927114221364055,3.3325279006287607,0.0
14.5,3.4321057676010063,2.7396490376405334,0.010312447244370082,0.010312447244370082,0.0,0.0,0.0,0.0,4.106442431342686,3.330675165861161,0.0
15.0,3.152752765441651,2.8946170273545517,-0.17123088758216953,-0.17123088758216953,0.0,0.0,0.0,0.0,3.696637704935042,3.326548388623759,0.0
15.5,3.089643992436667,2.8936558866190394,0.011357851967078059,0.011357851967078059,0.0,0.0,0.0,0.0,3.666493635157847,3.338950242937651,0.0
16.0,3.175468469375807,2.8964614828710795,0.18231979008642907,0.18231979008642907,0.0,0.0,0.0,0.0,3.7396153571221493,3.3558587942974745,0.0
16.5,3.4542835726095253,2.834323196537742,0.048469450676484005,0.048469450676484005,0.0,0.0,0.0,0.0,4.0049249519319154,3.361514916054328,0.0
17.0,3.272407370728775,2.874247562243539,-0.17550152516173934,-0.17550152516173934,0.0,0.0,0.0,0.0,3.713989549122604,3.3814105601244178,0.0
17.5,3.1032805222860467,2.9051248413871233,-0.117830789794924,-0.117830789794924,0.0,0.0,0.0,0.0,3.733326337988884,3.391828511868325,0.0
18.0,3.036745791138927,2.9292428892989832,0.016505538838596623,0.016505538838596623,0.0,0.0,0.0,0.0,3.696868475332835,3.4105181547588526,0.0
18.5,3.13629159996324,2.9515409851657117,0.10881409429986366,0.10881409429986366,0.0,0.0,0.0,0.0,3.7140620082343045,3.4186628914935024,0.0
19.0,3.2543739797386544,2.964136960502133,-0.011442552731202316,-0.011442552731202316,0.0,0.0,0.0,0.0,3.9002877440778874,3.4250798184760773,0.0
19.5,3.1134064945008353,2.966162257932588,0.0036371882688293056,0.0036371882688293056,0.0,0.0,0.0,0.0,3.8970393948052418,3.426292575432644,0.0
20.0,3.261648356276313,2.9599547571392355,0.1640415043033996,0.1640415043033996,0.0,0.0,0.0,0.0,3.853500713176371,3.4351455389530132,0.0
20.5,3.4414895031076345,2.954464345139999,0.06071543121185807,0.06071543121185807,0.0,0.0,0.0,0.0,3.872975317398586,3.443663696753904,0.0
