61.79,99.69,39.38
61.86,100.15,38.41
61.81,99.86,39.42
61.86,100.39,38.47
61.73,100.02,39.45
61.78,100.19,39.61
61.79,100.37,39.73
61.99,100.27,39.80
61.63,100.64,38.64
61.92,100.60,38.57
61.62,100.75,39.36
61.71,100.67,39.57
61.85,100.53,39.74
61.85,100.82,38.81
61.93,100.92,39.11
61.86,100.84,39.41
62.08,97.80,39.16
62.28,97.61,39.37
62.22,97.50,39.65
62.15,97.51,39.99
62.07,97.68,40.26
62.02,97.91,40.36
62.24,97.79,40.43
62.17,98.00,39.04
62.03,98.13,40.34
62.24,98.02,40.45
62.10,98.50,38.60
62.29,98.33,38.75
62.23,98.18,38.92
62.25,98.44,40.14
62.08,98.55,40.01
62.23,98.25,40.32
62.15,98.76,38.44
62.21,98.72,39.92
62.01,99.14,28.54
62.12,99.07,28.25
62.27,98.91,28.40
62.20,98.94,28.76
62.05,99.14,28.90
62.19,99.00,29.01
62.08,99.05,38.32
62.18,99.08,38.22
62.29,98.88,38.29
61.92,99.29,39.51
62.05,99.14,39.67
62.19,98.94,39.83
61.99,99.34,28.24
62.19,99.42,27.98
62.17,99.16,28.07
61.86,99.43,28.51
61.91,99.41,28.79
62.15,99.15,29.11
62.07,99.38,29.06
62.25,99.26,29.22
62.08,99.31,38.21
62.21,99.43,38.03
62.21,99.19,38.11
61.93,99.28,38.32
61.94,99.54,39.50
62.10,99.40,39.65
62.27,99.24,39.80
62.04,99.68,28.12
62.27,99.77,27.94
61.90,99.68,28.39
61.86,99.65,28.66
62.01,99.73,28.95
62.24,99.62,29.22
62.09,99.65,38.16
62.25,99.77,37.99
61.93,99.56,38.29
61.92,99.78,39.50
62.08,99.70,39.66
62.28,99.55,39.81
62.14,99.92,28.08
62.04,99.94,28.29
62.20,100.08,28.19
62.00,99.94,28.65
62.11,100.02,28.95
62.19,99.92,29.12
62.16,99.89,38.14
62.02,99.90,38.28
62.21,100.04,38.19
61.85,99.96,39.52
61.97,99.98,39.66
62.22,99.93,39.83
62.23,100.17,28.48
62.23,100.16,28.84
62.16,100.18,38.30
62.12,100.41,38.43
62.26,100.23,39.91
62.30,100.65,38.54
61.92,100.71,39.67
62.14,100.53,39.84
62.23,100.82,38.74
62.20,100.94,39.03
62.18,100.93,39.36
62.15,100.80,39.66
62.39,97.78,39.17
62.46,97.59,39.38
62.52,97.49,39.63
62.49,97.47,40.00
62.42,97.60,40.34
62.46,97.85,40.54
62.36,98.04,39.01
62.52,98.16,40.53
62.37,98.50,38.54
62.45,98.29,38.68
62.41,98.17,38.86
62.45,98.51,40.11
62.35,98.59,40.01
62.47,98.40,40.28
62.38,98.69,38.39
62.46,98.80,39.95
62.27,99.00,28.13
62.37,99.15,27.94
62.43,98.90,28.12
62.46,98.77,28.34
62.40,98.77,28.62
62.35,98.87,28.97
62.26,99.05,29.14
62.38,99.05,29.22
62.29,99.03,38.15
62.38,99.15,37.97
62.40,98.91,38.15
62.45,98.76,38.26
62.44,99.07,39.90
62.40,99.49,27.82
62.40,99.36,29.35
62.35,99.52,37.84
62.50,99.33,39.90
62.45,99.77,27.81
62.43,99.65,29.37
62.39,99.78,37.79
62.52,99.66,39.91
62.28,100.02,28.04
62.42,100.02,27.95
62.27,100.08,29.07
62.39,99.93,29.26
62.28,99.99,38.07
62.38,99.96,37.92
62.52,99.99,39.93
62.38,100.21,28.21
62.43,100.32,28.50
62.41,100.30,28.78
62.41,100.19,29.07
62.43,100.18,38.09
62.33,100.34,38.32
62.41,100.51,38.40
62.50,100.30,39.97
62.56,100.66,38.49
62.40,100.63,39.88
62.60,100.80,38.71
62.54,100.91,39.01
62.51,100.95,39.33
62.48,100.86,39.70
62.68,97.26,26.00
62.78,97.22,25.75
62.89,97.05,25.89
62.83,97.03,26.21
62.65,97.21,26.36
62.81,97.01,26.54
62.64,97.20,26.68
62.79,97.00,26.85
62.63,97.21,27.00
62.78,97.02,27.17
62.62,97.23,27.31
62.80,97.07,27.48
62.66,97.27,27.60
62.81,97.15,27.70
62.65,97.50,25.69
62.85,97.47,25.43
62.83,97.29,25.59
62.54,97.53,25.99
62.54,97.48,26.25
62.54,97.47,26.57
62.53,97.47,26.89
62.52,97.48,27.20
62.54,97.50,27.52
62.76,97.29,27.79
62.66,97.51,27.84
62.90,97.39,27.98
62.65,97.53,39.39
62.79,97.52,39.22
62.89,97.42,39.40
62.84,97.42,39.58
62.74,97.44,39.68
62.96,97.41,39.77
62.69,97.88,17.27
62.78,97.85,17.02
62.88,97.67,17.15
62.82,97.64,17.48
62.65,97.83,17.63
62.80,97.64,17.81
62.64,97.84,17.96
62.80,97.69,18.11
62.68,97.89,18.26
62.81,97.77,18.33
62.67,97.82,25.36
62.80,97.85,25.10
62.93,97.65,25.20
62.54,97.84,25.67
62.51,97.79,25.92
62.49,97.79,26.22
